Date,Year,Month,Passengers
1/1/2003,2003,1,1792044
2/1/2003,2003,2,1701196
3/1/2003,2003,3,1988723
4/1/2003,2003,4,1981051
5/1/2003,2003,5,2158622
6/1/2003,2003,6,2496896
7/1/2003,2003,7,2817866
8/1/2003,2003,8,2822404
9/1/2003,2003,9,2137480
10/1/2003,2003,10,2060727
11/1/2003,2003,11,1975690
12/1/2003,2003,12,2218920
1/1/2004,2004,1,1826941
2/1/2004,2004,2,1846821
3/1/2004,2004,3,2240820
4/1/2004,2004,4,2220693
5/1/2004,2004,5,2316875
6/1/2004,2004,6,2698561
7/1/2004,2004,7,2964785
8/1/2004,2004,8,2989435
9/1/2004,2004,9,2365800
10/1/2004,2004,10,2192541
11/1/2004,2004,11,2135408
12/1/2004,2004,12,2308621
1/1/2005,2005,1,1954507
2/1/2005,2005,2,1851059
3/1/2005,2005,3,2286743
4/1/2005,2005,4,2242747
5/1/2005,2005,5,2402166
6/1/2005,2005,6,2710491
7/1/2005,2005,7,2983772
8/1/2005,2005,8,2972302
9/1/2005,2005,9,2443395
10/1/2005,2005,10,2254929
11/1/2005,2005,11,2194290
12/1/2005,2005,12,2328079
1/1/2006,2006,1,2018540
2/1/2006,2006,2,1943537
3/1/2006,2006,3,2340602
4/1/2006,2006,4,2333529
5/1/2006,2006,5,2525896
6/1/2006,2006,6,2805323
7/1/2006,2006,7,3008802
8/1/2006,2006,8,3013495
9/1/2006,2006,9,2480868
10/1/2006,2006,10,2319271
11/1/2006,2006,11,2240949
12/1/2006,2006,12,2361252
1/1/2007,2007,1,2033007
2/1/2007,2007,2,1942028
3/1/2007,2007,3,2394466
4/1/2007,2007,4,2409732
5/1/2007,2007,5,2663321
6/1/2007,2007,6,2915060
7/1/2007,2007,7,3164851
8/1/2007,2007,8,3191939
9/1/2007,2007,9,2607265
10/1/2007,2007,10,2513866
11/1/2007,2007,11,2427214
12/1/2007,2007,12,2526180
1/1/2008,2008,1,2241119
2/1/2008,2008,2,2209200
3/1/2008,2008,3,2601398
4/1/2008,2008,4,2503106
5/1/2008,2008,5,2762350
6/1/2008,2008,6,3041238
7/1/2008,2008,7,3260286
8/1/2008,2008,8,3286566
9/1/2008,2008,9,2615099
10/1/2008,2008,10,2472567
11/1/2008,2008,11,2243256
12/1/2008,2008,12,2419286
1/1/2009,2009,1,2085496
2/1/2009,2009,2,2003314
3/1/2009,2009,3,2465411
4/1/2009,2009,4,2394104
5/1/2009,2009,5,2613208
6/1/2009,2009,6,2899618
7/1/2009,2009,7,3162190
8/1/2009,2009,8,3126849
9/1/2009,2009,9,2592794
10/1/2009,2009,10,2437438
11/1/2009,2009,11,2266219
12/1/2009,2009,12,2470617
1/1/2010,2010,1,2135228
2/1/2010,2010,2,1983418
3/1/2010,2010,3,2405348
4/1/2010,2010,4,2333433
5/1/2010,2010,5,2553305
6/1/2010,2010,6,2910315
7/1/2010,2010,7,3175662
8/1/2010,2010,8,3134733
9/1/2010,2010,9,2651926
10/1/2010,2010,10,2515860
11/1/2010,2010,11,2387970
12/1/2010,2010,12,2549101
1/1/2011,2011,1,2213499
2/1/2011,2011,2,2047875
3/1/2011,2011,3,2554712
4/1/2011,2011,4,2462524
5/1/2011,2011,5,2707700
6/1/2011,2011,6,3015947
7/1/2011,2011,7,3253962
8/1/2011,2011,8,3265914
9/1/2011,2011,9,2750517
10/1/2011,2011,10,2538120
11/1/2011,2011,11,2466123
12/1/2011,2011,12,2607110
1/1/2012,2012,1,2190823
2/1/2012,2012,2,2162205
3/1/2012,2012,3,2594020
4/1/2012,2012,4,2519190
5/1/2012,2012,5,2706209
6/1/2012,2012,6,3057157
7/1/2012,2012,7,3295441
8/1/2012,2012,8,3301026
9/1/2012,2012,9,2743164
10/1/2012,2012,10,2567434
11/1/2012,2012,11,2468031
12/1/2012,2012,12,2589759
1/1/2013,2013,1,2300221
2/1/2013,2013,2,2188977
3/1/2013,2013,3,2633001
4/1/2013,2013,4,2561804
5/1/2013,2013,5,2833162
6/1/2013,2013,6,3197389
7/1/2013,2013,7,3465575
8/1/2013,2013,8,3467032
9/1/2013,2013,9,2826752
10/1/2013,2013,10,2639003
11/1/2013,2013,11,2431649
12/1/2013,2013,12,2767669
1/1/2014,2014,1,2394211
2/1/2014,2014,2,2240623
3/1/2014,2014,3,2690904
4/1/2014,2014,4,2708272
5/1/2014,2014,5,2940054
6/1/2014,2014,6,3415974
7/1/2014,2014,7,3740891
8/1/2014,2014,8,3800407
9/1/2014,2014,9,3079219
10/1/2014,2014,10,2930781
11/1/2014,2014,11,2722920
12/1/2014,2014,12,3063356
1/1/2015,2015,1,2676642
2/1/2015,2015,2,2525522
3/1/2015,2015,3,3102431
4/1/2015,2015,4,3075390
5/1/2015,2015,5,3407602
6/1/2015,2015,6,3831923
7/1/2015,2015,7,4228672
8/1/2015,2015,8,4250122
9/1/2015,2015,9,3480349
10/1/2015,2015,10,3315473
11/1/2015,2015,11,3075272
12/1/2015,2015,12,3348815
1/1/2016,2016,1,2944199
2/1/2016,2016,2,2815721
3/1/2016,2016,3,3403250
4/1/2016,2016,4,3367941
